	12.50000	-4.34280	-7.596052
	12.83202	-4.39613	-7.873280
	13.18183  	-4.45403	-8.187560
	13.55140	-4.51706	-8.548742
	13.94231	-4.58587	-8.970838
	14.35640	-4.66106	-9.474690
	14.79591	-4.74296	-10.09360
	15.26316	-4.83173	-10.88760
	15.76087	-4.92716	-11.99102
	16.12903	-4.99754	-13.15800
	16.29213	-5.02862	-13.88770
	17.857142	-5.32151	-21.60401
	18.48250	-5.43663	-21.81249
	19.15322	-5.55980	-22.00395
	19.87451	-5.69259	-22.18599
	20.65217	-5.83697	-22.36260
	21.49321	-5.99554	-22.53646
	22.40566	-6.17166	-22.70927
	23.39901	-6.37000	-22.88247
	24.48453	-6.59693	-23.05726
	25.67572	-6.86254	-23.23469
	26.98863	-7.18211	-23.41579
	28.44311	-7.58190	-23.60163
	30.06334	-8.11218	-23.79327
	31.87919	-8.88826	-23.99194
	33.92857	-10.29096	-24.19901
	38.93442	-18.16896	-24.70732
	42.03552	-18.53040	-24.95770
	45.67315	-18.84713	-25.22302
 	50.00000 	-21.45515	-30.11253
